Date,Open,High,Low,Close,% Change,% Change vs Average,Volume
2022-06-22T18:30:00.000Z,1481.5,1511.75,1481.5,1494.3,1.05,0.94,"18,28,491"
2022-06-23T18:30:00.000Z,1501.75,1512,1489,1494.85,0.04,-0.08,"17,31,440"
2022-06-26T18:30:00.000Z,1524,1544.7,1509.75,1535.8,2.74,2.63,"23,89,778"
2022-06-27T18:30:00.000Z,1530,1557.5,1524.1,1551.5,1.02,0.91,"20,72,405"
2022-06-28T18:30:00.000Z,1531.25,1554,1525.4,1547.9,-0.23,-0.34,"14,80,197"
2022-06-29T18:30:00.000Z,1549.05,1566.9,1542.1,1558.25,0.67,0.56,"33,08,971"
2022-06-30T18:30:00.000Z,1560.95,1576,1534.6,1572.15,0.89,0.78,"12,94,305"
2022-07-03T18:30:00.000Z,1572.1,1587.45,1550.2,1581.7,0.61,0.5,"12,69,969"
2022-07-04T18:30:00.000Z,1584,1597.25,1561.6,1564.9,-1.06,-1.17,"14,45,200"
2022-07-05T18:30:00.000Z,1565.55,1590.5,1551.8,1556.15,-0.56,-0.67,"24,22,594"
2022-07-06T18:30:00.000Z,1565.9,1614.15,1565.65,1611.1,3.53,3.42,"16,97,912"
2022-07-07T18:30:00.000Z,1621,1702,1618,1687.45,4.74,4.63,"65,16,138"
2022-07-10T18:30:00.000Z,1684.95,1688.85,1653.4,1663,-1.45,-1.56,"13,16,037"
2022-07-11T18:30:00.000Z,1655,1672.9,1649.05,1653.75,-0.56,-0.67,"7,81,516"
2022-07-12T18:30:00.000Z,1664,1683.25,1644.4,1647.25,-0.39,-0.51,"19,14,814"
2022-07-13T18:30:00.000Z,1651.85,1667.35,1634.6,1646.15,-0.07,-0.18,"11,70,472"
2022-07-14T18:30:00.000Z,1653.9,1687.85,1649.2,1684.85,2.35,2.24,"13,45,141"
2022-07-17T18:30:00.000Z,1696.05,1734.6,1690,1727.65,2.54,2.43,"32,00,640"
2022-07-18T18:30:00.000Z,1719.95,1734.95,1714,1729.8,0.12,0.01,"13,51,783"
2022-07-19T18:30:00.000Z,1740.35,1746.85,1727.95,1739.95,0.59,0.47,"15,09,911"
2022-07-20T18:30:00.000Z,1726.9,1768.95,1715.1,1765.15,1.45,1.34,"28,27,327"
2022-07-21T18:30:00.000Z,1765.5,1779.55,1752.55,1767.75,0.15,0.04,"14,95,629"
2022-07-24T18:30:00.000Z,1765,1785.5,1760.05,1782.45,0.83,0.72,"19,16,615"
2022-07-25T18:30:00.000Z,1780.75,1780.75,1741.9,1751.25,-1.75,-1.86,"15,85,897"
2022-07-26T18:30:00.000Z,1754,1819.5,1750,1796.65,2.59,2.48,"53,69,460"
2022-07-27T18:30:00.000Z,1805,1816,1786.95,1801.25,0.26,0.14,"18,31,059"
2022-07-28T18:30:00.000Z,1814.95,1832.5,1794,1808.05,0.38,0.27,"17,47,781"
2022-07-31T18:30:00.000Z,1808,1817.85,1790.3,1814.7,0.37,0.26,"13,41,943"
2022-08-01T18:30:00.000Z,1809,1811.65,1775.7,1793.05,-1.19,-1.31,"17,49,346"
2022-08-02T18:30:00.000Z,1793.05,1804,1773,1789.8,-0.18,-0.29,"12,64,299"
2022-08-03T18:30:00.000Z,1793.8,1814.8,1775,1780.1,-0.54,-0.65,"18,56,927"
2022-08-04T18:30:00.000Z,1782.95,1807,1775.3,1787.45,0.41,0.3,"14,30,542"
2022-08-07T18:30:00.000Z,1796.4,1832.05,1790.25,1829.65,2.36,2.25,"26,25,195"
2022-08-09T18:30:00.000Z,1830,1867,1822.25,1855.15,1.39,1.28,"34,22,074"
2022-08-10T18:30:00.000Z,1870.05,1878.8,1855.2,1867.15,0.65,0.53,"19,18,049"
2022-08-11T18:30:00.000Z,1865,1869,1838,1846.45,-1.11,-1.22,"10,41,383"
2022-08-15T18:30:00.000Z,1860,1864,1842,1848.9,0.13,0.02,"14,26,893"
2022-08-16T18:30:00.000Z,1861.45,1867.35,1850.05,1855.7,0.37,0.26,"17,48,371"
2022-08-17T18:30:00.000Z,1857,1898.55,1850,1894.55,2.09,1.98,"25,19,639"
2022-08-18T18:30:00.000Z,1894.1,1942,1892.75,1936.05,2.19,2.08,"41,34,598"
2022-08-21T18:30:00.000Z,1937.1,1944,1875,1880.65,-2.86,-2.97,"31,75,874"
2022-08-22T18:30:00.000Z,1870,1911.95,1865.7,1877.05,-0.19,-0.3,"18,11,509"
2022-08-23T18:30:00.000Z,1876,1898,1851.6,1893.35,0.87,0.76,"15,34,933"
2022-08-24T18:30:00.000Z,1900,1918,1873,1877.9,-0.82,-0.93,"11,21,363"
2022-08-25T18:30:00.000Z,1890.2,1912,1887.2,1905.4,1.46,1.35,"11,19,310"
2022-08-28T18:30:00.000Z,1870,1890,1861,1881.5,-1.25,-1.37,"11,83,546"
2022-08-29T18:30:00.000Z,1893.9,1928,1889.15,1922.5,2.18,2.07,"13,94,462"
2022-08-31T18:30:00.000Z,1905,1930.5,1892.1,1912.95,-0.5,-0.61,"20,14,905"
2022-09-01T18:30:00.000Z,1900.5,1958.8,1900.25,1940.5,1.44,1.33,"32,01,140"
2022-09-04T18:30:00.000Z,1947.95,1972.75,1942.1,1968.35,1.44,1.32,"24,74,746"
2022-09-05T18:30:00.000Z,1973.8,1985.1,1951.3,1962.3,-0.31,-0.42,"11,72,733"
2022-09-06T18:30:00.000Z,1941.1,1961.35,1934,1958.1,-0.21,-0.33,"12,38,549"
2022-09-07T18:30:00.000Z,1967.9,1977,1947.55,1974.4,0.83,0.72,"16,32,797"
2022-09-08T18:30:00.000Z,1977.35,1987.4,1944,1949.75,-1.25,-1.36,"9,80,869"
2022-09-11T18:30:00.000Z,1949.75,1967,1947.9,1961.9,0.62,0.51,"7,91,708"
2022-09-12T18:30:00.000Z,1968.9,1995,1963.1,1991.35,1.5,1.39,"17,61,021"
2022-09-13T18:30:00.000Z,1964.65,1972.95,1949.4,1953.9,-1.88,-1.99,"23,22,752"
2022-09-14T18:30:00.000Z,1959.1,1984.7,1954.8,1957.5,0.18,0.07,"15,66,565"
2022-09-15T18:30:00.000Z,1947,1956.9,1915,1920,-1.92,-2.03,"38,81,617"
2022-09-18T18:30:00.000Z,1921.1,1931.95,1905,1910.7,-0.48,-0.6,"17,55,456"
2022-09-19T18:30:00.000Z,1931,1955.8,1925,1932.7,1.15,1.04,"16,66,658"
2022-09-20T18:30:00.000Z,1921.1,1946.3,1891.6,1895.65,-1.92,-2.03,"16,18,385"
2022-09-21T18:30:00.000Z,1882,1905.6,1873,1888.2,-0.39,-0.51,"18,75,115"
2022-09-22T18:30:00.000Z,1890,1895.45,1852.55,1856.85,-1.66,-1.77,"19,48,766"
2022-09-25T18:30:00.000Z,1849,1876.8,1818,1851.45,-0.29,-0.4,"15,29,101"
2022-09-26T18:30:00.000Z,1856,1864,1832.5,1841.2,-0.55,-0.67,"14,43,698"
2022-09-27T18:30:00.000Z,1829.7,1856,1825.6,1835.45,-0.31,-0.42,"18,53,503"
2022-09-28T18:30:00.000Z,1844.65,1857.4,1797.4,1815.5,-1.09,-1.2,"23,77,718"
2022-09-29T18:30:00.000Z,1823.95,1882.95,1816.05,1847.7,1.77,1.66,"23,39,518"
2022-10-02T18:30:00.000Z,1852,1852,1814,1819.3,-1.54,-1.65,"18,50,414"
2022-10-03T18:30:00.000Z,1835.3,1880.95,1835.3,1871.55,2.87,2.76,"16,37,532"
2022-10-05T18:30:00.000Z,1882,1919,1878.1,1912.95,2.21,2.1,"27,71,898"
2022-10-06T18:30:00.000Z,1905,1928.95,1903.05,1924.55,0.61,0.49,"14,69,264"
2022-10-09T18:30:00.000Z,1905,1917,1883.5,1909.65,-0.77,-0.89,"16,56,954"
2022-10-10T18:30:00.000Z,1923.8,1923.8,1871.25,1878.95,-1.61,-1.72,"10,47,963"
2022-10-11T18:30:00.000Z,1880,1916,1858.05,1911.25,1.72,1.61,"19,07,748"
2022-10-12T18:30:00.000Z,1901,1912,1868.25,1876.15,-1.84,-1.95,"13,03,645"
2022-10-13T18:30:00.000Z,1900,1936.75,1898.45,1911.6,1.89,1.78,"18,19,114"
2022-10-16T18:30:00.000Z,1902.9,1914,1878.4,1883.2,-1.49,-1.6,"25,88,147"
